tick,total_infected,total_recovered,total_dead,total_healthy,hot_region_infected,cold_region_infected,moderate_region_infected,airport_usage,port_usage,num_isolated_countries,num_affected_countries,most_affected_country,most_deaths_country,hot_region_transmission_rate,cold_region_transmission_rate,moderate_region_transmission_rate,cross_border_infections,within_country_infections
108,877,934,121,9548,407,256,214,0,998,0,57,Thailand,Indonesia,0.062480810561866745,0.127553562531141,0.07232173031429537,5,872
109,864,958,123,9535,406,248,210,0,1007,0,58,Thailand,Indonesia,0.062327295056800736,0.12356751370204284,0.07096992227103752,5,859
110,857,988,123,9512,408,252,197,0,1012,0,59,Thailand,Indonesia,0.06263432606693276,0.12556053811659193,0.06657654613044947,5,852
111,853,1011,128,9488,410,253,190,0,1018,0,59,Thailand,Indonesia,0.06294135707706479,0.1260587942202292,0.06421088205474823,5,848
112,854,1032,131,9463,408,259,187,0,1027,0,60,Thailand,Indonesia,0.06263432606693276,0.1290483308420528,0.06319702602230483,2,852
113,852,1055,133,9440,411,260,181,0,1035,0,58,Thailand,Indonesia,0.0630948725821308,0.12954658694569007,0.061169313957418044,2,850
114,834,1089,138,9419,407,258,169,0,1038,0,58,Thailand,Indonesia,0.062480810561866745,0.12855007473841554,0.057113889827644475,2,832
115,813,1127,141,9399,402,254,157,0,1043,0,57,Thailand,Indonesia,0.06171323303653669,0.12655705032386647,0.0530584656978709,2,811
116,795,1163,144,9378,409,239,147,0,1044,0,56,Thailand,Indonesia,0.06278784157199878,0.11908320876930742,0.049678945589726256,2,793
117,797,1188,146,9349,414,241,142,0,1049,0,58,Thailand,Ethiopia,0.06355541909732883,0.12007972097658197,0.047989185535653935,2,795
118,781,1224,149,9326,419,230,132,0,1055,0,57,Thailand,Ethiopia,0.06432299662265889,0.114598903836572,0.04460966542750929,2,779
119,769,1251,153,9307,421,223,125,0,1061,0,56,Thailand,Ethiopia,0.06463002763279091,0.1111111111111111,0.042244001351808044,3,766
120,766,1273,154,9287,429,223,114,0,1063,0,56,Vietnam,Ethiopia,0.065858151673319,0.1111111111111111,0.03852652923284894,3,763
121,752,1298,160,9270,424,222,106,0,1069,0,57,Vietnam,Ethiopia,0.06509057414798895,0.11061285500747384,0.03582291314633322,4,748
122,761,1324,162,9233,448,214,99,0,1079,0,55,Vietnam,Ethiopia,0.06877494626957323,0.10662680617837568,0.03345724907063197,3,758
123,794,1347,163,9176,480,215,99,0,1082,0,56,Vietnam,Ethiopia,0.0736874424316856,0.10712506228201295,0.03345724907063197,3,791
124,830,1369,165,9116,520,210,100,0,1083,0,55,Vietnam,Ethiopia,0.07982806263432607,0.10463378176382661,0.03379520108144644,3,827
125,914,1393,171,9002,612,199,103,0,1085,0,55,Bangladesh,Ethiopia,0.09395148910039915,0.09915296462381665,0.034809057113889826,3,911
126,977,1429,174,8900,681,187,109,0,1087,0,54,Bangladesh,Ethiopia,0.10454405894995394,0.0931738913801694,0.03683676917877662,1,976
127,1051,1452,175,8802,747,185,119,0,1095,0,54,Bangladesh,Ethiopia,0.11467608228431071,0.09217737917289487,0.04021628928692126,1,1050
128,1122,1477,178,8703,816,177,129,0,1101,0,54,Bangladesh,Ethiopia,0.1252686521338655,0.08819133034379671,0.0435958093950659,1,1121
129,1184,1497,181,8618,870,177,137,0,1105,0,54,Bangladesh,Ethiopia,0.13355848940743015,0.08819133034379671,0.04629942548158161,1,1183
130,1250,1523,184,8523,927,177,146,0,1107,0,54,Bangladesh,Ethiopia,0.14230887319619281,0.08819133034379671,0.04934099357891179,0,1250
131,1307,1546,185,8442,977,175,155,0,1114,0,55,India,Ethiopia,0.14998464844949339,0.08719481813652218,0.05238256167624197,0,1307
132,1375,1576,189,8340,1035,170,170,0,1124,0,54,India,Ethiopia,0.15888854774332206,0.08470353761833582,0.05745184183845894,0,1375
133,1435,1598,194,8253,1093,167,175,0,1129,0,56,India,Ethiopia,0.16779244703715077,0.08320876930742402,0.05914160189253126,0,1435
134,1485,1624,196,8175,1132,167,186,0,1136,0,53,India,Ethiopia,0.1737795517347252,0.08320876930742402,0.06285907401149037,0,1485
135,1548,1646,200,8086,1170,166,212,0,1142,0,54,India,Ethiopia,0.17961314092723366,0.08271051320378675,0.07164582629266644,0,1548
136,1584,1669,204,8023,1180,166,238,0,1149,0,54,India,Ethiopia,0.18114829597789378,0.08271051320378675,0.08043257857384252,1,1583
137,1641,1685,205,7949,1213,165,263,0,1152,0,53,India,Ethiopia,0.18621430764507216,0.08221225710014948,0.08888137884420412,1,1640
138,1714,1699,208,7859,1264,166,284,0,1154,0,51,India,Ethiopia,0.19404359840343874,0.08271051320378675,0.09597837107130787,1,1713
139,1811,1720,211,7738,1336,165,310,0,1160,0,51,India,Ethiopia,0.20509671476819158,0.08221225710014948,0.10476512335248395,1,1810
140,1891,1743,215,7631,1388,165,338,0,1171,0,49,India,Ethiopia,0.2130795210316242,0.08221225710014948,0.11422777965528895,1,1890
141,1967,1767,216,7530,1438,164,365,0,1174,0,49,India,Ethiopia,0.22075529628492477,0.0817140009965122,0.12335248394727949,1,1966
142,2050,1789,220,7421,1500,162,388,0,1181,0,49,India,Ethiopia,0.2302732575990175,0.08071748878923767,0.13112538019601216,1,2049
